,entity id,alias,synonyms,scientific name,category,molecules
0,1,bakery products,Bakery Products,poacceae,bakery,"{27457, 31252, 7976, 22201, 26331, 26808}"
1,2,bread,Bread,poacceae,bakery,"{1031, 1032, 644104, 527, 8723, 31260, 15394, 31268, 6184, 439341, 9261, 10797, 49, 5365811, 31289, 6202, 638011, 61503, 8768, 637511, 72, 1110, 61020, 5280863, 637542, 1130, 107, 6251, 7284, 7288, 444539, 637566, 126, 9862, 650, 33931, 441484, 445070, 19602, 5284503, 10393, 8857, 1183, 8868, 7847, 441005, 7858, 4788, 180, 5280443, 8892, 5363388, 702, 10430, 5280445, 30914, 643779, 7362, 18635, 10448, 7895, 1549026, 85730, 439533, 240, 244, 11509, 247, 11005, 5280511, 768, 7937, 8452, 784, 284, 798, 5284639, 11552, 802, 2345, 12587, 5315892, 3893, 12097, 323, 638278, 6986, 637775, 26447, 338, 5280598, 13144, 1889, 643941, 878, 11128, 379, 8063, 402, 2969, 5318042, 8094, 6560, 6561, 6050, 6054, 5367719, 8103, 6569, 5281708, 6072, 853433, 6584, 79803, 6590, 8130, 107971, 454, 12232, 14286, 439246, 12756, 985, 439263, 7654, 999, 998, 7150, 89594}"
2,3,rye bread,Rye Bread,rye,bakery,"{32065, 644104, 72, 18635, 460, 332, 12366, 8908, 7824, 10448, 643731, 8468, 1049, 5372954, 8094, 1183, 8158, 6561, 999, 1130, 31276, 5366074, 19309, 7344, 12209, 8369, 12020, 6202, 25915, 7997}"
3,4,wheaten bread,"Soda scones, Soda farls",wheat,bakery,"{30914, 6915, 5365891, 12170, 14286, 8082, 31251, 7958, 7895, 1049, 8027, 26334, 7711, 8163, 1060, 8164, 11747, 996, 228583, 19310, 880, 7921, 22386, 9589, 61303, 26808, 1146, 637564, 263034, 7359}"
4,5,white bread,White Bread,wheat,bakery,"{7361, 994, 10883, 7362, 11173, 5365891, 11559, 5960, 12170, 880, 61020, 6140, 7359}"
5,6,wholewheat bread,Wholewheat Bread,wheat,bakery,"{107905, 8194, 10883, 13187, 5283329, 5283335, 644104, 18827, 5283339, 31245, 5364752, 643731, 61209, 8093, 8094, 7710, 6561, 31268, 12327, 65064, 31276, 1068, 7344, 8369, 179, 10931, 62131, 6202, 25915, 11579, 957, 15037, 7997, 3776, 65084, 18635, 10957, 8914, 72276, 72277, 36822, 7894, 14296, 18522, 8158, 61663, 637920, 612, 7909, 8038, 9064, 1130, 878, 12020, 247, 8314, 5283324, 14079}"
6,7,wort,Wort,barley,beverage,"{13187, 9862, 135, 18827, 7824, 61712, 19602, 8468, 8091, 5284507, 8093, 798, 31260, 6560, 5281, 11552, 7710, 1183, 5282726, 9256, 7976, 12587, 1068, 7469, 10931, 14079, 3893, 26808, 853433, 10430, 32065, 7362, 12097, 5284421, 445639, 12232, 5352905, 12748, 332, 17100, 8785, 8027, 5321950, 8158, 8163, 612, 7909, 11622, 998, 996, 7144, 5370602, 7654, 999, 643820, 7151, 8180, 62453, 5283316, 15606, 379, 11005, 8063}"
7,8,arrack,Arak,grape,beverage alcoholic,"{240, 31249, 1031, 6584, 7997}"
8,9,beer,Beer,poacceae,beverage alcoholic,"{62465, 8194, 8193, 1031, 644104, 1032, 62484, 73750, 7193, 1049, 1060, 9256, 1068, 9261, 15406, 49, 7222, 6202, 58, 442428, 643139, 72, 5319754, 12367, 529496, 5280863, 1130, 107, 7284, 17525, 1146, 8314, 444539, 126, 7302, 135, 61592, 10393, 146586, 1183, 5281, 14505, 638122, 513197, 7342, 7344, 8369, 14514, 26808, 10430, 7361, 5463238, 445639, 18635, 10448, 5321950, 61664, 88290, 16617, 8432, 3314, 11509, 19707, 264, 18698, 61712, 8468, 240925, 11552, 7460, 61743, 5366074, 25915, 10558, 32065, 12613, 332, 338, 342, 62835, 9589, 379, 107905, 9609, 18827, 5281168, 402, 5318042, 6560, 6561, 522676, 16821, 6584, 853433, 6590, 222656, 454, 5352905, 460, 8655, 1491, 12756, 7646, 11747, 7654, 7655, 16872, 7658, 31225, 229888, 5283335, 31242, 12813, 31245, 85519, 527, 31251, 5283349, 31253, 7707, 7710, 31268, 65064, 31276, 24115, 31283, 31289, 31291, 65084, 7742, 21057, 7749, 5284421, 10823, 7762, 72276, 72277, 5280343, 8792, 7772, 7775, 612, 61030, 519786, 20083, 7795, 7797, 7799, 61048, 7800, 10886, 9862, 8842, 650, 445070, 7824, 643731, 5284507, 679, 7848, 10925, 639665, 22201, 5280443, 8892, 15037, 5280445, 17100, 10957, 8908, 8914, 7894, 7895, 8918, 1549018, 26331, 26334, 10976, 445154, 1549026, 7909, 5367531, 7915, 643820, 753, 7921, 61171, 12020, 75515, 11005, 14079, 7937, 65285, 7945, 636687, 61209, 798, 7976, 3893, 9017, 7997, 27457, 12097, 8007, 637775, 6998, 8025, 8027, 643941, 8038, 9064, 19309, 878, 19310, 880, 22386, 8051, 8052, 6086514, 569214, 16255, 8063, 13187, 12170, 5282708, 14228, 5362583, 2969, 8093, 8094, 11173, 6054, 5282726, 5281708, 520108, 12209, 957, 5362622, 5054, 8129, 964, 12232, 61384, 61386, 14286, 439246, 14296, 985, 8158, 8159, 8163, 996, 998, 999, 7144, 8169, 1001, 8174, 7151, 8175, 8180, 62453, 8186}"
9,10,bantu beer,"Millet Beer, Malwa, Kaffir Beer, Pombe, Opaque Beer",eragrostideae,beverage alcoholic,"{6560, 8038, 7654, 7147, 1068, 14286, 527, 240, 12209, 6354, 31284, 957, 8063}"
10,11,brandy,"Cognac, Armagnac, Pisco, Stravencchio,  Kanyak, Konyak ",vitis vinifera,beverage alcoholic,"{62465, 263, 5364231, 8073, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 7749, 326, 61386, 460, 14286, 7762, 8025, 10976, 8038, 7654, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
11,12,anise brandy,Brandy,anise,beverage alcoholic,"{62465, 263, 1031, 8073, 5364231, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 7749, 326, 61386, 460, 14286, 7762, 8025, 10976, 8038, 7654, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
12,13,apple brandy,Anise Brandy,apple,beverage alcoholic,"{62465, 1031, 263, 5364231, 31249, 8468, 1049, 7711, 31265, 12327, 9256, 5364778, 8748, 31284, 638014, 637758, 7749, 326, 7501, 7761, 7762, 8025, 7772, 83036, 7775, 8038, 19310, 1136, 8051, 9589, 61814, 7797, 7800, 379, 11902, 126, 16255, 10885, 9862, 8073, 5281167, 14228, 5318042, 8091, 8094, 6560, 6561, 6054, 8103, 9895, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 7361, 7362, 61384, 61386, 460, 8908, 14286, 10448, 10976, 7654, 16617, 7658, 643820, 11508, 31225, 7165}"
13,14,armagnac brandy,Armanac Brandy,vitis vinifera,beverage alcoholic,"{62465, 263, 1031, 8073, 5364231, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 7749, 326, 61386, 460, 14286, 7762, 8025, 10976, 8038, 7654, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
14,15,blackberry brandy,Brackberry Brandy,blackberry,beverage alcoholic,"{62465, 263, 5364231, 8073, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 177, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 7749, 326, 61386, 460, 14286, 7762, 8025, 10976, 8038, 7654, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
